X1,Z1,X3,Z3,X5,Z5,X7,Z7
9.746252076200121e-06,1.2253888817424872e-05,1.680523079942509e-05,4.932885764980744e-05,1.0364537509724783e-05,9.947305345001187e-07,-3.162935007584985e-05,-4.395965484577536e-05
1.7506996810199953e-05,3.968061393149706e-06,1.7950171204525033e-05,4.2477948266300165e-05,-2.5429287716250554e-06,7.248822331299906e-06,-4.5729145871150224e-05,-3.337660677672511e-05
2.2850666827974823e-05,-3.492109576649742e-06,1.8446734352274823e-05,3.6569219235931514e-05,-1.3092971063900002e-05,1.159981299095011e-05,-5.6640841141899784e-05,-2.5169270516824452e-05
2.5134135834375222e-05,-1.003951639470032e-05,1.811659496352494e-05,3.173863908868438e-05,-2.07777241543498e-05,1.378113174357507e-05,-6.388929803082498e-05,-1.9018361023825404e-05
2.422022762147498e-05,-1.5676862540474866e-05,1.662921702060005e-05,2.7742844875857253e-05,-2.547148913225033e-05,1.3748312326074784e-05,-6.744721280862532e-05,-1.4448464568274713e-05
2.041227333977511e-05,-2.0454349303400052e-05,1.3654828113999996e-05,2.41378524020566e-05,-2.7420124990549816e-05,1.168495750500007e-05,-6.7702472706425e-05,-1.1133979765224657e-05
1.421323742597483e-05,-2.4522991259150195e-05,9.04114499397494e-06,2.0484102530693655e-05,-2.7084822760024743e-05,8.008564778600076e-06,-6.538489190727496e-05,-9.072480707225487e-06
6.252409249450077e-06,-2.8064964687375075e-05,2.9571772525002673e-06,1.6529629955377214e-05,-2.5065094664025213e-05,3.2475452575501072e-06,-6.137415157204994e-05,-8.51966579094995e-06
-2.731734504875065e-06,-3.119668537157529e-05,-3.9066566055252945e-06,1.2421388480149696e-05,-2.213890618722519e-05,-2.1564003133002062e-06,-5.653138837605036e-05,-9.814156948674893e-06
-1.1948913093125105e-05,-3.393781723287463e-05,-1.0416666299149823e-05,8.689443286140716e-06,-1.913490802970012e-05,-7.858064303424908e-06,-5.1609913256799814e-05,-1.3191346481674585e-05
-2.0525355768499917e-05,-3.618663529812542e-05,-1.5476561355075e-05,5.9189063064248395e-06,-1.6730753740924666e-05,-1.349789603087505e-05,-4.710801209154968e-05,-1.8566300950650927e-05
-2.7466905692874943e-05,-3.773699182717423e-05,-1.84150192351002e-05,4.46309150303841e-06,-1.537987853484973e-05,-1.8670592280550053e-05,-4.3163139685724935e-05,-2.541575269134934e-05
-3.180631638630008e-05,-3.839224839697567e-05,-1.9036124375849733e-05,4.373520441260556e-06,-1.527856337215066e-05,-2.2973016991150157e-05,-3.966642530587499e-05,-3.290899401197506e-05
-3.2867449547349875e-05,-3.807668352174935e-05,-1.7529161590425137e-05,5.433760531927529e-06,-1.6332394023349517e-05,-2.610197382697495e-05,-3.64784987860506e-05,-4.018460345550038e-05
-3.041105220415001e-05,-3.681232422177508e-05,-1.4275527844699815e-05,7.294509407025e-06,-1.8233453098025123e-05,-2.7998933285749896e-05,-3.353563341717495e-05,-4.654057065752457e-05
-2.4679080243199996e-05,-3.465270097639979e-05,-9.601882358500208e-06,9.68100440952501e-06,-2.0578588616699915e-05,-2.8878534414774996e-05,-3.090462603552507e-05,-5.1524517655275257e-05
-1.6380865834149903e-05,-3.1670770426150095e-05,-3.796601470499846e-06,1.2427098879825004e-05,-2.2880253019475025e-05,-2.901556180487483e-05,-2.880150605192493e-05,-5.493676461772526e-05
-6.520340147100033e-06,-2.7945967646349906e-05,2.716675019624878e-06,1.535734105767499e-05,-2.4637333646700208e-05,-2.8546935726250127e-05,-2.7477803382649612e-05,-5.6691050480524915e-05
3.81001170639988e-06,-2.358439113137479e-05,9.461790407175145e-06,1.829173055042501e-05,-2.5560379939175166e-05,-2.751878431735003e-05,-2.716047400797483e-05,-5.6748838610200074e-05
1.359625686175002e-05,-1.8746289644550572e-05,1.604187659815003e-05,2.1071833967449977e-05,-2.5675089929099934e-05,-2.6021624351399994e-05,-2.808286132977532e-05,-5.520983070287505e-05
2.2104190510399994e-05,-1.3588204775649704e-05,2.2011264404874897e-05,2.3443899221275023e-05,-2.521347929759993e-05,-2.4269613614775034e-05,-3.0392090595674805e-05,-5.232755112432458e-05
2.8968448999949943e-05,-8.216980966599743e-06,2.674997043940002e-05,2.5010416337999998e-05,-2.4499388976125056e-05,-2.2643811008199975e-05,-3.4023156988199996e-05,-4.845556457344982e-05
3.406652948780009e-05,-2.734619129350982e-06,2.952813723212499e-05,2.5366787125575033e-05,-2.3833420650975004e-05,-2.160590642017509e-05,-3.870451170397485e-05,-4.4023612217450585e-05
3.732292834349995e-05,2.69025753415076e-06,2.964229008797499e-05,2.4267239476224946e-05,-2.3353097055174923e-05,-2.14859998047749e-05,-4.4031786572575234e-05,-3.948910762097439e-05
3.86635426673249e-05,7.826833131149846e-06,2.6683019347999984e-05,2.1773254752150036e-05,-2.3118096514849855e-05,-2.2433291018324978e-05,-4.953643019570001e-05,-3.529545860340034e-05
3.820055480174985e-05,1.2517505629400412e-05,2.0874639013850017e-05,1.8344320841849995e-05,-2.330141284514987e-05,-2.4497939293224857e-05,-5.478402307882487e-05,-3.1911381410649944e-05
3.638630440667523e-05,1.6782243431449385e-05,1.3055087099449929e-05,1.4654226290324978e-05,-2.410654831690043e-05,-2.754528126117507e-05,-5.944969577702502e-05,-2.985041902767464e-05
3.3928265401749966e-05,2.075633211872513e-05,4.357137791950131e-06,1.1266222769374952e-05,-2.559463052489953e-05,-3.1141920288375066e-05,-6.325865420322508e-05,-2.95589757947504e-05
3.1598131767125075e-05,2.4570208871499757e-05,-3.937644548725021e-06,8.558058631600045e-06,-2.7639590764124995e-05,-3.460043143992499e-05,-6.592742751812498e-05,-3.1270899538774974e-05
2.9969654736975056e-05,2.8206550071174612e-05,-1.051784391975009e-05,6.7909626416749855e-06,-2.9898712429675574e-05,-3.707870616145002e-05,-6.720618455160034e-05,-3.49216806510501e-05
